Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.Grunnbemanning totalt
972734675	As Barnas Hus Gullhella	9.9
974188430	Asker Gård barnehage AS	3.8
972734284	Bikuben barnehage	10.4
979669933	Billingstad barnehage Sa	18.8
973484672	Bjerkås barnehage	14.9
918318054	Bleikerfaret barnehage	22
988060429	Bondi barnehage	3.6
974578603	Borgen barnehage	12.6
973513974	Borgen Skog barnehage	11.2
974578719	Brendsrud barnehage	10
875365002	Båstadmyra barnehage Sa	15.7
975266702	Engelsrud barnehage	5.8
988250007	Espira Blakstad barnehage	20.4
985488568	Espira Gullhella barnehage	23
873111992	Frelsesarmeens Barnehager Avd Trollstua	14
973485237	Frydendal barnehage	17
873456442	Furuly barnehage	5.5
874578592	Føyka barnehage Gamle Drammensvei	11.4
973352091	Føyka barnehage Ånnerudveien	8.4
873500972	Gullhella Familiebarnehage Kari Hofsmarken Reinhoff	1.1
992862807	Hanevold Barnegård AS	9
974578670	Heggedalskogen barnehage Heggedalskogen	10
915126960	Heggedalskogen barnehage Heggedalskogen Friluft	3
974578611	Holmen barnehage	16.2
873349352	Holmentoppen barnehage	3
974578735	Hval Gård barnehage Hvalsveien	16.6
815127072	Hval Gård barnehage Syverstadveien	4
915127207	Hvalstad barnehage Greverudveien	4
980339610	Hvalstad barnehage Hvalstadveien	13
994966065	Høymyrmarka Familiebarnehage	1.1
918352651	Kistefossdammen barnehage	21.5
984280254	Landøya barnehage	17
973632574	Leikestua barnehage	8
973500988	Lilleborgen barnehage Jutemyrveien Naturbarnehage	4.2
918051937	Lilleborgen barnehage Trettestykket Naturbarnehage	9.2
996222055	Læringsverkstedet barnehage Avd Billingstad	16
896450832	Læringsverkstedet barnehage Avd Bjørndalen	16
993891231	Mellom- Nes Fus barnehage AS	20.4
974578654	Morellveien barnehage	16
891191162	Nakuhel-Barnehagen Sa	10.3
983592066	Nansentunet Musikkbarnehage Sa	10.7
973382373	Nedre Bleiker Barnehus	19.4
973382349	Nesbru barnehage	7.1
974578727	Nesøya barnehage	10.4
993017914	Nilsemarka barnehage	16.6
974185431	Regnbuen Steinerbarnehage	11
981479696	Risenga barnehage	8
973464809	Rudolf Steinerbarnehagen i Asker	11.8
972164143	Sem barnehage	11.3
974578700	Solgården barnehage Kirkeveien	25.9
974578662	Solstad barnehage Barnehage Med Barn i Alderen 1-5 År	10
974146592	Stiftelsen Tertitten barnehage	5.1
991746358	Stiftelsen Vollen Montessoribarnehage	19.5
980125637	Stinaløkka Kanvas-Barnehage	12
974578638	Søndre Borgen barnehage	13
976097327	Torp Høymyr barnehage Sa	12.5
981205502	Vardåsen barnehage Sa	14.7
972207713	Vekstbarnehagen	6.1
991458476	Vendla barnehage	28.1
974706202	Vepsebolet barnehage	8
915127479	Vikingjordet barnehage Øvre Gjellumvei	3
974578743	Vikingjordet barnehage Åmotåsen	13.5
995079151	Vollen Familiebarnehage	1.1
976006739	Vollen Kystkulturbarnehage AS	10.5
973456466	Østenstad Kirkes barnehage	3
874578622	Østhellinga barnehage	10
973601849	Åby barnehage	16.8
973353942	Ånnerud Barnehus Sa	5.9
981988779	Ånnerudtoppen barnehage Sa	16
974583747	Aursmoen barnehage	15.1
892486042	Barnehagegården AS	8.5
974583763	Bråtebakken barnehage	13
974583771	Burholtoppen barnehage	12
975840174	Ekeberg barnehage Lena Margrethe Fåberg	14.9
975826368	Epletunet barnehage AS	16.8
991592040	Festningsåsen barnehage	25.8
991998705	Flatbyjordet barnehage	16.8
973456636	Hofmoen barnehage	10.1
994275925	Kjelle Gårdsbarnehage	3
988930423	Lundebygrenda barnehage	10.2
973603825	Løken barnehage Avd Gruslinna	10.7
991998721	Løken barnehage Avdeling Bjørkely	5
973469258	Ole Brumm barnehage Aurskog AS	16.8
889696982	Plommehagen barnehage Kolstad	6.7
973603795	Setskog Oppvekstsenter Avd Barnehage	7.4
986112421	Aktivitetsbarnehagen AS	11.8
976723201	Arba AS Avd Kløverbakken barnehage	5.3
973469126	Balder barnehage Sa	5.8
973932705	Barnas Hus AS	6.9
985998795	Barnehagen Vier Sa	12
979890834	Barnehagenvår Fossum Grendehus	7.3
986898190	Barnehagenvår Fossum Terrasse	14.5
915235794	Barnehagenvår Hosletoppen	25
979890761	Barnehagenvår Lindebergveien	6.9
988897523	Barnelåven Janne Rosenlind	3.3
989944487	Bekkestua Kanvas-Barnehage	30.7
974553880	Belset barnehage Avd Bakkeplassen	12
974553813	Berger barnehage	21
973469150	Berghoff barnehage	6
973602993	Blommenholm barnehage	3.3
988362484	Blåklokken Fam barnehage Avd Haslum Terrasse	2.3
993901172	Blåklokken Fam barnehage Avd Skogveien	2.3
973471961	Blåveiskroken barnehage	6
998991250	Bærumsmarka Fus barnehage AS	22.1
973346407	Damstua barnehage	3.7
993814466	Dønski barnehage	25.5
973445995	Eikebo barnehage	10.4
974553864	Eikelia barnehage	24.5
976795024	Eiksmarka Foreldrelagsbarnehage	12
989491482	Ekebergparken barnehage	12.8
980430588	Ekrekroken barnehage Sa	18.3
987806028	Emma Hjorth barnehage	12
979698631	Epleskogen barnehage Sa	12.9
981007980	Espira Evje barnehage Avd Blåveisbakken	11.6
981007816	Espira Evje barnehage Avd Nøtteskogen	12.4
981007875	Espira Evje barnehage Avd Skogholtet	12.5
915616518	Fjordveien barnehage	32
973598430	Flåklypa barnehage	8.3
916682166	Forneburingen barnehage	20
874553832	Forneburingen barnehage Avd Kilentunet	6
987644788	Furu barnehage	9.2
874554162	Fururabben barnehage	10.2
973337785	Gartnerveien barnehage og Habilitering	2
974891778	Gjettum barnehage Sa	11.2
986136215	Glassverket barnehage	21.5
974553929	Glitre barnehage Avd Langeleiken	12.8
974554119	Glitre barnehage Avd Løkenlia	9
993162604	Glitre barnehage Avdeling Soppen	2
974553775	Gommerud barnehage	21.5
991649891	Gommerud barnehage Avdeling Idrett	3
974553791	Grav barnehage Avdeling Liom	11.9
973336460	Grav barnehage Avdeling Øvrevoll	3
976056957	Grindaberget barnehage Sa	12.2
974554151	Grini barnehage Avd Briskehaugen	10.2
974554194	Grini barnehage Avd Fossum	9.1
974553805	Gullhaug barnehage	15.3
973513869	Gulltoppen barnehage	3.2
