Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.0 år	2017.Alle eierformer.1 år	2017.Alle eierformer.2 år	2017.Alle eierformer.3 år	2017.Alle eierformer.4 år	2017.Alle eierformer.5 år
972734675	As Barnas Hus Gullhella	0	4	8	7	12	10
974188430	Asker Gård barnehage AS	0	3	1	4	5	1
972734284	Bikuben barnehage	0	6	9	10	7	11
979669933	Billingstad barnehage Sa	0	12	16	18	17	19
973484672	Bjerkås barnehage	2	9	12	15	13	15
918318054	Bleikerfaret barnehage	0	17	19	18	20	16
988060429	Bondi barnehage	0	2	8	0	0	0
974578603	Borgen barnehage	1	7	7	13	14	25
973513974	Borgen Skog barnehage	0	9	6	12	11	12
974578719	Brendsrud barnehage	0	9	5	14	12	12
875365002	Båstadmyra barnehage Sa	0	14	12	14	13	13
975266702	Engelsrud barnehage	0	2	7	3	8	7
988250007	Espira Blakstad barnehage	0	15	15	21	21	24
985488568	Espira Gullhella barnehage	0	13	24	23	20	30
873111992	Frelsesarmeens Barnehager Avd Trollstua	0	8	10	18	13	19
973485237	Frydendal barnehage	1	7	15	13	11	12
873456442	Furuly barnehage	0	0	6	9	6	10
874578592	Føyka barnehage Gamle Drammensvei	0	8	10	9	12	19
973352091	Føyka barnehage Ånnerudveien	0	5	9	9	8	9
873500972	Gullhella Familiebarnehage Kari Hofsmarken Reinhoff	0	1	3	0	0	0
992862807	Hanevold Barnegård AS	0	6	13	4	4	8
974578670	Heggedalskogen barnehage Heggedalskogen	0	8	10	7	16	9
915126960	Heggedalskogen barnehage Heggedalskogen Friluft	0	0	0	4	8	5
974578611	Holmen barnehage	1	9	18	16	20	15
873349352	Holmentoppen barnehage	0	1	3	3	5	2
974578735	Hval Gård barnehage Hvalsveien	0	10	4	28	28	21
815127072	Hval Gård barnehage Syverstadveien	0	6	8	0	0	0
915127207	Hvalstad barnehage Greverudveien	1	6	7	0	0	0
980339610	Hvalstad barnehage Hvalstadveien	0	9	5	15	23	16
994966065	Høymyrmarka Familiebarnehage	0	2	0	0	0	0
918352651	Kistefossdammen barnehage	0	17	19	34	17	9
984280254	Landøya barnehage	0	11	17	16	17	18
973632574	Leikestua barnehage	0	5	3	8	6	8
973500988	Lilleborgen barnehage Jutemyrveien Naturbarnehage	0	2	6	5	4	4
918051937	Lilleborgen barnehage Trettestykket Naturbarnehage	1	9	5	10	8	9
996222055	Læringsverkstedet barnehage Avd Billingstad	0	7	21	16	12	20
896450832	Læringsverkstedet barnehage Avd Bjørndalen	0	11	16	12	19	17
993891231	Mellom- Nes Fus barnehage AS	0	16	12	24	25	19
974578654	Morellveien barnehage	0	9	13	15	18	15
891191162	Nakuhel-Barnehagen Sa	0	0	0	3	14	19
983592066	Nansentunet Musikkbarnehage Sa	0	8	6	10	13	13
973382373	Nedre Bleiker Barnehus	0	13	15	15	18	15
973382349	Nesbru barnehage	0	3	6	7	3	8
974578727	Nesøya barnehage	0	4	8	11	8	17
993017914	Nilsemarka barnehage	0	10	20	15	18	17
974185431	Regnbuen Steinerbarnehage	0	3	13	10	13	8
981479696	Risenga barnehage	0	4	7	9	8	8
973464809	Rudolf Steinerbarnehagen i Asker	0	10	13	5	6	10
972164143	Sem barnehage	0	10	8	11	7	8
974578700	Solgården barnehage Kirkeveien	1	25	16	26	30	31
974578662	Solstad barnehage Barnehage Med Barn i Alderen 1-5 År	0	2	12	9	14	13
974146592	Stiftelsen Tertitten barnehage	0	0	2	7	3	8
991746358	Stiftelsen Vollen Montessoribarnehage	0	14	11	20	21	17
980125637	Stinaløkka Kanvas-Barnehage	0	11	8	14	14	11
974578638	Søndre Borgen barnehage	0	7	13	11	13	18
976097327	Torp Høymyr barnehage Sa	1	10	12	10	13	9
981205502	Vardåsen barnehage Sa	0	19	9	15	11	10
972207713	Vekstbarnehagen	0	2	7	8	6	3
991458476	Vendla barnehage	0	15	27	30	28	52
974706202	Vepsebolet barnehage	0	4	6	15	8	12
915127479	Vikingjordet barnehage Øvre Gjellumvei	0	0	0	4	6	8
974578743	Vikingjordet barnehage Åmotåsen	0	7	13	3	13	20
995079151	Vollen Familiebarnehage	0	2	0	0	0	0
976006739	Vollen Kystkulturbarnehage AS	0	6	8	8	2	15
973456466	Østenstad Kirkes barnehage	0	1	0	4	1	5
874578622	Østhellinga barnehage	0	6	8	10	13	13
973601849	Åby barnehage	0	13	15	13	19	16
973353942	Ånnerud Barnehus Sa	0	4	5	5	7	6
981988779	Ånnerudtoppen barnehage Sa	0	12	16	13	17	18
974583747	Aursmoen barnehage	0	11	14	12	13	15
892486042	Barnehagegården AS	2	9	5	7	8	3
974583763	Bråtebakken barnehage	1	11	7	17	12	12
974583771	Burholtoppen barnehage	0	8	11	8	9	17
975840174	Ekeberg barnehage Lena Margrethe Fåberg	0	11	9	12	13	13
975826368	Epletunet barnehage AS	2	13	15	14	12	16
991592040	Festningsåsen barnehage	0	11	26	24	24	29
991998705	Flatbyjordet barnehage	2	16	13	12	17	14
973456636	Hofmoen barnehage	1	10	8	3	9	10
994275925	Kjelle Gårdsbarnehage	0	1	2	2	6	4
988930423	Lundebygrenda barnehage	0	6	9	13	7	11
973603825	Løken barnehage Avd Gruslinna	0	7	9	10	9	12
991998721	Løken barnehage Avdeling Bjørkely	0	0	6	5	8	6
973469258	Ole Brumm barnehage Aurskog AS	1	11	11	11	13	17
889696982	Plommehagen barnehage Kolstad	0	2	9	5	9	7
973603795	Setskog Oppvekstsenter Avd Barnehage	0	5	7	4	9	10
986112421	Aktivitetsbarnehagen AS	0	5	9	13	19	11
976723201	Arba AS Avd Kløverbakken barnehage	0	5	5	8	3	5
973469126	Balder barnehage Sa	0	2	4	2	9	8
